zip_code,cooling_site_count,restroom_count,fountain_count
00083,0,21,179
10001,0,6,19
10002,0,19,103
10003,0,4,15
10004,0,3,16
10005,0,2,0
10007,0,1,4
10009,0,4,23
10010,0,2,11
10011,0,7,20
10012,0,2,8
10013,0,4,17
10014,0,9,17
10016,0,3,7
10017,0,6,5
10018,0,3,1
10019,0,7,10
10021,0,0,1
10022,0,9,5
10023,0,8,25
10024,0,10,44
10025,0,7,9
10026,2,5,12
10027,7,8,36
10028,0,3,11
10029,5,5,36
10030,4,4,4
10031,4,6,12
10032,4,7,25
10033,1,6,10
10034,6,6,24
10035,15,9,63
10036,0,2,13
10037,8,4,21
10038,0,4,13
10039,5,5,25
10040,2,5,19
10044,0,1,0
10055,0,1,0
10065,0,3,9
10069,0,1,5
10075,1,3,6
10128,0,3,7
10280,0,1,7
10281,0,0,1
10282,0,2,11
10301,0,9,53
10302,0,2,12
10303,0,2,1
10304,0,6,16
10305,0,13,57
10306,0,7,20
10307,0,2,11
10308,0,2,7
10309,0,8,16
10310,0,6,15
10312,0,4,14
10314,0,11,30
10451,7,13,28
10452,1,4,31
10453,4,4,24
10454,7,9,30
10455,3,4,10
10456,8,11,30
10457,7,13,49
10458,7,10,17
10459,6,8,25
10460,6,5,16
10461,1,8,15
10462,0,11,27
10463,0,7,20
10464,0,9,41
10465,1,7,27
10466,2,5,7
10467,1,13,34
10468,1,6,26
10469,3,7,18
10470,1,4,9
10471,1,17,48
10472,2,4,14
10473,1,8,25
10474,0,2,13
10475,0,1,3
11004,0,2,8
11101,6,8,17
11102,0,5,15
11103,0,2,5
11104,0,2,7
11105,0,5,25
11106,0,4,11
11201,0,17,74
11203,3,7,21
11204,1,4,16
11205,2,8,23
11206,12,12,50
11207,9,13,43
11208,1,7,27
11209,0,7,24
11210,2,2,9
11211,3,12,40
11212,8,10,54
11213,3,5,31
11214,2,10,33
11215,0,11,89
11216,4,7,20
11217,2,7,19
11218,0,4,17
11219,0,3,5
11220,0,6,25
11221,7,7,18
11222,2,8,33
11223,0,5,12
11224,2,17,66
11225,0,4,10
11226,0,6,28
11228,0,5,32
11229,0,9,27
11230,0,5,11
11231,1,7,37
11232,0,2,20
11233,9,10,44
11234,0,14,55
11235,0,8,47
11236,6,16,31
11237,2,3,14
11238,0,8,17
11239,0,2,2
11354,0,7,20
11355,1,9,22
11356,0,4,8
11357,0,5,18
11358,0,3,4
11359,0,1,12
11360,0,6,9
11361,0,5,17
11362,0,4,7
11363,0,3,3
11364,0,10,47
11365,0,11,33
11366,0,2,1
11367,1,9,24
11368,8,15,122
11369,0,5,7
11370,0,1,4
11372,0,3,10
11373,1,7,13
11374,0,4,17
11375,0,9,20
11377,0,6,23
11378,0,5,13
11379,0,3,20
11385,0,14,79
11411,2,5,12
11412,0,4,5
11413,3,5,13
11414,0,3,5
11415,0,1,9
11416,1,3,5
11417,0,3,13
11418,0,1,0
11419,0,2,4
11420,0,2,12
11421,0,2,1
11422,0,2,8
11423,0,8,20
11426,0,6,12
11427,0,2,3
11428,0,1,0
11429,2,1,4
11432,0,4,11
11433,4,5,26
11434,0,12,41
11435,0,4,6
11436,1,1,4
11691,3,11,47
11692,2,2,16
11693,12,5,29
11694,7,5,22
