zipcode,environment_score,facility_score
10000,51.21,22.27
10001,42.44,17.62
10002,28.23,66.67
10003,32.6,12.08
10004,46.87,10.39
10005,45.49,2.58
10006,47.03,22.27
10007,43.92,1.97
10009,31.25,14.96
10010,44.11,6.54
10011,38.31,20.03
10012,35.99,5.46
10013,38.53,12.8
10014,40.56,23.05
10016,41.72,7.15
10017,43.79,12.58
10018,44.71,4.99
10019,36.12,16.43
10020,47.57,22.27
10021,48.49,0.36
10022,45.78,18.73
10023,44.46,23.88
10024,46.17,34.82
10025,34.74,16.07
10026,26.33,18.61
10027,25.37,47.28
10028,43.92,8.59
10029,29.25,35.58
10030,37.7,19.23
10031,17.89,26.21
10032,21.42,32.94
10033,30.78,17.16
10034,14.28,36.09
10035,38.36,72.93
10036,35.2,7.26
10037,44.22,36.46
10038,45.04,11.36
10039,42.83,31.62
10040,13.68,21.13
10041,47.65,22.27
10044,47.61,0.53
10048,43.92,22.27
10065,44.47,7.87
10069,47.54,2.33
10075,46.56,9.57
10103,43.94,22.27
10107,43.91,22.27
10111,47.66,22.27
10112,47.6,22.27
10119,47.62,22.27
10123,51.66,22.27
10128,48.38,7.15
10129,43.93,22.27
10153,47.61,22.27
10162,47.43,22.27
10280,47.02,3.05
10281,51.38,0.36
10282,51.59,6.54
10301,85.19,36.0
10302,80.91,6.9
10303,81.5,2.94
10304,82.78,16.54
10305,86.99,45.64
10306,97.94,20.03
10307,85.47,6.54
10308,87.1,5.1
10309,94.05,20.64
10310,81.53,16.18
10312,99.06,11.72
10314,98.23,31.83
10451,28.1,54.65
10452,21.86,20.62
10453,25.94,26.43
10454,32.3,47.17
10455,30.24,18.61
10456,22.39,54.05
10457,19.4,62.21
10458,27.65,44.54
10459,29.81,40.55
10460,29.41,31.16
10461,38.01,23.06
10462,33.75,30.75
10463,32.51,20.03
10464,34.95,31.69
10465,38.76,25.33
10466,38.52,16.81
10467,27.8,40.14
10468,26.25,22.92
10469,41.04,27.64
10470,36.6,12.7
10471,38.34,53.38
10472,20.54,17.28
10473,35.02,26.66
10474,34.19,7.26
10475,36.39,1.61
11001,76.76,22.27
11004,80.06,5.46
11040,75.56,22.27
11101,71.9,37.67
11102,72.15,14.13
11103,65.75,4.38
11104,73.85,5.1
11105,75.36,17.73
11106,71.67,10.64
11109,77.67,22.27
11201,58.01,59.96
11203,63.13,28.72
11204,66.11,15.22
11205,55.43,28.71
11206,38.31,74.41
11207,59.38,65.61
11208,57.04,25.33
11209,64.97,21.47
11210,66.69,11.38
11211,30.39,45.81
11212,63.09,60.64
11213,55.02,28.22
11214,64.49,36.41
11215,60.28,53.06
11216,43.96,31.14
11217,50.81,25.23
11218,61.53,12.8
11219,65.16,6.43
11220,53.21,19.78
11221,47.53,38.75
11222,55.13,32.31
11223,64.51,13.05
11224,60.43,62.64
11225,48.33,10.28
11226,49.23,20.86
11228,66.45,20.25
11229,67.82,26.65
11230,68.5,12.69
11231,61.52,28.92
11232,55.98,9.78
11233,56.73,59.82
11234,72.32,46.97
11235,66.67,31.79
11236,69.71,59.1
11237,45.44,15.23
11238,37.21,21.0
11239,61.59,3.3
11242,65.65,22.27
11249,53.26,22.27
11354,80.9,20.03
11355,81.41,27.63
11356,75.75,9.56
11357,88.88,15.21
11358,85.02,6.07
11360,78.31,14.02
11361,81.77,14.85
11362,79.3,9.2
11363,76.5,5.71
11364,85.34,35.89
11365,86.22,32.91
11366,78.81,2.94
11367,80.51,28.35
11368,72.02,84.79
11369,77.84,11.25
11370,79.1,1.97
11372,72.23,8.23
11373,77.85,20.29
11374,76.43,12.8
11375,82.91,24.13
11377,75.08,19.06
11378,80.0,13.41
11379,81.78,11.83
11385,79.69,55.61
11411,79.48,18.61
11412,81.98,8.48
11413,85.34,21.74
11414,78.68,6.43
11415,75.73,3.77
11416,76.47,9.21
11417,79.34,9.31
11418,77.9,0.53
11419,77.02,4.02
11420,82.22,6.9
11421,77.43,2.94
11422,83.48,5.46
11423,76.44,22.08
11426,81.84,15.1
11427,80.23,3.66
11428,78.94,0.53
11429,79.45,7.53
11430,74.19,22.27
11432,78.12,10.64
11433,76.36,29.2
11434,82.6,37.84
11435,79.4,8.84
11436,77.92,4.75
11691,76.17,46.28
11692,74.48,13.9
11693,74.08,52.5
11694,76.55,36.09
11697,74.13,22.27
