zip_code,air_quality_score,noise_score,green_score,environment_score
10000,28.03,98.7,20.255000000000003,51.21
10001,28.03,80.94,7.51,42.44
10002,28.03,40.11,7.9,28.23
10003,28.03,45.56,20.19,32.6
10004,28.03,97.26,1.07,46.87
10005,28.03,93.51,0.73,45.49
10006,28.03,97.83,0.86,47.03
10007,28.03,88.23,2.14,43.92
10009,28.03,45.86,12.91,31.25
10010,28.03,85.79,7.36,44.11
10011,28.03,63.75,16.92,38.31
10012,28.03,63.28,6.16,35.99
10013,28.03,70.87,5.58,38.53
10014,28.03,68.23,20.35,40.56
10016,28.03,74.05,15.93,41.72
10017,28.03,83.38,9.95,43.79
10018,28.03,90.67,1.8,44.71
10019,28.03,60.24,12.1,36.12
10020,28.03,99.77,0.19,47.57
10021,28.03,90.94,20.26,48.49
10022,28.03,83.85,19.12,45.78
10023,28.03,80.84,17.75,44.46
10024,28.03,83.28,22.02,46.17
10025,28.03,47.97,26.68,34.74
10026,28.03,34.99,7.36,26.33
10027,28.03,28.64,13.65,25.37
10028,28.03,80.91,14.96,43.92
10029,28.03,42.01,9.66,29.25
10030,28.03,66.99,8.18,37.7
10031,28.03,7.5,13.24,17.89
10032,28.03,18.87,11.0,21.42
10033,28.03,46.23,9.91,30.78
10034,28.03,0.08,8.21,14.28
10035,28.03,68.5,8.84,38.36
10036,28.03,60.14,7.7,35.2
10037,28.03,88.3,3.52,44.22
10038,28.03,90.97,2.92,45.04
10039,28.03,84.72,2.83,42.83
10040,28.03,0.0,5.35,13.68
10041,28.03,99.97,0.23,47.65
10044,28.03,99.7,0.5,47.61
10048,28.03,89.43,0.03,43.92
10065,28.03,82.04,15.72,44.47
10069,28.03,99.8,0.0,47.54
10075,28.03,92.61,7.65,46.56
10103,28.03,89.43,0.12,43.94
10107,28.03,89.43,0.0,43.91
10111,28.03,100.0,0.21,47.66
10112,28.03,99.93,0.08,47.6
10119,28.03,100.0,0.04,47.62
10123,28.03,100.0,20.255000000000003,51.66
10128,28.03,89.37,22.45,48.38
10129,28.03,89.43,0.09,43.93
10153,28.03,100.0,0.0,47.61
10162,28.03,99.4,0.14,47.43
10280,28.03,98.26,0.08,47.02
10281,28.03,99.2,20.255000000000003,51.38
10282,28.03,99.8,20.255000000000003,51.59
10301,100.0,92.38,39.3,85.19
10302,100.0,95.65,12.15,80.91
10303,100.0,96.89,12.96,81.5
10304,100.0,89.43,32.4,82.78
10305,100.0,95.45,42.93,86.99
10306,100.0,96.32,96.13,97.94
10307,100.0,95.35,35.49,85.47
10308,100.0,93.78,46.37,87.1
10309,100.0,97.16,75.22,94.05
10310,100.0,90.94,23.49,81.53
10312,100.0,97.32,100.0,99.06
10314,100.0,94.95,100.0,98.23
10451,0.0,76.16,7.24,28.1
10452,0.0,57.1,9.39,21.86
10453,0.0,67.56,11.48,25.94
10454,0.0,89.83,4.28,32.3
10455,0.0,84.05,4.09,30.24
10456,0.0,58.03,10.4,22.39
10457,0.0,49.1,11.09,19.4
10458,0.0,70.77,14.41,27.65
10459,0.0,81.27,6.82,29.81
10460,0.0,77.96,10.6,29.41
10461,0.0,88.26,35.61,38.01
10462,0.0,85.09,19.83,33.75
10463,0.0,79.67,23.15,32.51
10464,0.0,95.49,7.65,34.95
10465,0.0,92.11,32.62,38.76
10466,0.0,89.8,35.44,38.52
10467,0.0,68.23,19.62,27.8
